Description,CPT,Gross Charge
RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC,814,157979.65
OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURES WITH MCC,831,41719.5
OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURES WITH CC,832,27075.46667
OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURES WITHOUT CC/MCC,833,18397.18182
INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC,853,270874.9288
INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC,854,125711.398
POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH MCC,856,166487.8
POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MCC,863,64122.86667
SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS,870,476114.2941
SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,871,113020.0117
SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,872,62847.82209
ACUTE ADJUSTMENT REACTION AND PSYCHOSOCIAL DYSFUNCTION,880,63104.63636
DEPRESSIVE NEUROSES,881,62249.39474
NEUROSES EXCEPT DEPRESSIVE,882,51296.5625
DISORDERS OF PERSONALITY AND IMPULSE CONTROL,883,68291.18293
ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY,884,69990.33333
PSYCHOSES,885,85552.58857
"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC",896,96736.53333
"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC",897,61278.055
WOUND DEBRIDEMENTS FOR INJURIES WITH CC,902,137451.5
OTHER O.R. PROCEDURES FOR INJURIES WITH CC,908,96034.41818
ALLERGIC REACTIONS WITHOUT MCC,916,60884.0
POISONING AND TOXIC EFFECTS OF DRUGS WITH MCC,917,92699.7697
POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC,918,75634.13636
COMPLICATIONS OF TREATMENT WITH MCC,919,45284.5
COMPLICATIONS OF TREATMENT WITH CC,920,53661.25
O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITHOUT CC/MCC,941,78273.8
SIGNS AND SYMPTOMS WITHOUT MCC,948,72667.12857
OTHER FACTORS INFLUENCING HEALTH STATUS,951,65205.15455
HIV WITH MAJOR RELATED CONDITION WITH CC,975,58753.4
NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,98,75920.5
EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,981,387292.0667
EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC,982,148995.74
EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,983,135924.9
NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,987,387195.3667
"VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC",747,43875.5
PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC,337,145197.9
POSTPARTUM AND POST ABORTION DIAGNOSES WITH O.R. PROCEDURES,769,26432.0
OTHER VASCULAR PROCEDURES WITH CC,253,173323.6333
"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",155,27237.0
OTHER VASCULAR PROCEDURES WITH MCC,252,356993.75
CESAREAN SECTION WITH STERILIZATION WITH MCC,783,51056.63333
URINARY STONES WITHOUT MCC,694,57023.75
PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC,301,62535.0
CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,192,67710.4
CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,191,63358.5
AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,240,137639.3
DIGESTIVE MALIGNANCY WITH MCC,374,80034.45
KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITH CC/MCC,488,59449.3
SKIN DEBRIDEMENT WITH CC,571,84401.35
KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC,657,129602.1
OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,271,210541.6
OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,254,130863.6111
HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC,354,96739.3
"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC",492,197401.16
OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,270,396736.62
AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,239,150632.9
"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",3,1090451.733
CHEST PAIN,313,78713.0
MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,372,53447.28
OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC,357,61766.95
OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,167,92395.2
MAJOR JOINT OR LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITIES,483,396891.1714
PLEURAL EFFUSION WITH CC,187,82450.5
"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC",605,91040.1
PNEUMOTHORAX WITH CC,200,51002.25
"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC",513,73568.36667
BONE DISEASES AND ARTHROPATHIES WITHOUT MCC,554,63161.7
DISORDERS OF THE BILIARY TRACT WITH MCC,444,80001.33333
PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,243,113360.25
"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC",326,302646.4257
INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC,351,110373.0
OTHER MULTIPLE SIGNIFICANT TRAUMA WITH CC,964,42168.33333
INBORN AND OTHER DISORDERS OF METABOLISM,642,87466.4
RESPIRATORY SIGNS AND SYMPTOMS,204,39101.5
"CARDIAC ARREST, UNEXPLAINED WITH MCC",296,100490.05
COMPLICATED PEPTIC ULCER WITH CC,381,47050.5
FRACTURES OF HIP AND PELVIS WITH MCC,535,47018.6
"ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA",894,53327.25
OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,272,126163.4667
REVISION OF HIP OR KNEE REPLACEMENT WITH MCC,466,312355.3
DISORDERS OF THE BILIARY TRACT WITH CC,445,58095.88
APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,341,89126.85
PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC,543,59833.33333
OTHER O.R. PROCEDURES FOR INJURIES WITH MCC,907,142474.9889
OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC,565,37516.0
"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT CC/MCC",494,116150.3667
MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH CC,809,84765.0
MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC,435,42744.0
DYSEQUILIBRIUM,149,56144.8
INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MCC,728,39824.6
APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,342,74200.6
PNEUMOTHORAX WITHOUT CC/MCC,201,49093.33333
CHOLECYSTECTOMY WITH C.D.E. WITH MCC,411,169007.4
ANGINA PECTORIS,311,28730.75
"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC",579,167923.3
SKIN DEBRIDEMENT WITHOUT CC/MCC,572,74874.7
CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC,307,129235.4
OTHER MULTIPLE SIGNIFICANT TRAUMA WITH MCC,963,90571.5
PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC,251,181876.5
DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC,446,28564.4
OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,315,51734.8
HYPERTENSION WITH MCC,304,57347.78333
RESPIRATORY NEOPLASMS WITH CC,181,40849.0
"TENDONITIS, MYOSITIS AND BURSITIS WITH MCC",557,99381.0
SOFT TISSUE PROCEDURES WITH MCC,500,105694.75
OTITIS MEDIA AND URI WITHOUT MCC,153,30522.95
NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,68,46054.0
OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH MCC,843,67804.0
"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC",628,95257.3
"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",327,146701.1
OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC,515,176960.8
PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC,542,82216.5
TRANSURETHRAL PROSTATECTOMY WITH CC/MCC,713,87447.8
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,151662.7667
GASTROINTESTINAL HEMORRHAGE WITHOUT CC/MCC,379,70977.0
PLEURAL EFFUSION WITH MCC,186,69938.2
OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,92,97283.94286
POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH CC,857,114723.26
INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC,352,64532.65
SIGNS AND SYMPTOMS WITH MCC,947,79359.66
SEPTIC ARTHRITIS WITH CC,549,65318.77143
DENTAL AND ORAL DISEASES WITHOUT CC/MCC,159,37701.0
BENIGN PROSTATIC HYPERTROPHY WITHOUT MCC,726,24368.0
COMPLICATED PEPTIC ULCER WITH MCC,380,83876.6
"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",562,61388.73333
PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/MCC,544,60210.0
MAJOR ESOPHAGEAL DISORDERS WITHOUT CC/MCC,370,28144.0
AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC,474,111457.8
ENDOCRINE DISORDERS WITH MCC,643,104751.5333
TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,84,38766.5
APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,338,114494.6
SPINAL DISORDERS AND INJURIES WITH CC/MCC,52,69710.0
SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC,556,57554.93333
OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC,356,115883.0333
DENTAL AND ORAL DISEASES WITH CC,158,37687.4
MAJOR CHEST PROCEDURES WITH MCC,163,286098.2833
REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC,468,282185.8
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",560,80934.53077
SOFT TISSUE PROCEDURES WITHOUT CC/MCC,502,59887.675
KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH CC,486,89251.6
VIRAL ILLNESS WITHOUT MCC,866,19081.0
AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC,475,138071.2429
EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,39,117885.9
OSTEOMYELITIS WITHOUT CC/MCC,541,95064.4
COMPLICATIONS OF TREATMENT WITHOUT CC/MCC,921,37190.9
OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC,517,149115.25
OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,205,115144.9167
BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC,462,227216.3
BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC,479,57390.2
CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,27,67470.1
EXTRACRANIAL PROCEDURES WITH CC,38,176894.4
"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC",512,106900.9
"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC",61,139981.95
OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,206,89154.75
OTHER DISORDERS OF THE EYE WITHOUT MCC,125,82678.0
KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC,696,36445.0
CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,24,123969.0
MAJOR CHEST PROCEDURES WITH CC,164,124258.4
"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC",62,120974.88
OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,91,173132.7667
ALLERGIC REACTIONS WITH MCC,915,390316.0
TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,83,73569.0
OTHER MULTIPLE SIGNIFICANT TRAUMA WITHOUT CC/MCC,965,57850.5
OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,358,62671.8
PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC,250,228410.0
COAGULATION DISORDERS,813,79576.86667
MAJOR CHEST TRAUMA WITH CC,184,71431.8
ABORTION WITHOUT D&C,779,12268.0
RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH CC,815,61960.6
MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH MCC,808,105024.7714
OTHER HEART ASSIST SYSTEM IMPLANT,215,424298.05
"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",146,175955.0
MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,60,66734.5
OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH MCC,957,282064.0
DENTAL AND ORAL DISEASES WITH MCC,157,23483.8
TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,85,73338.5
"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITH MCC",604,137449.0
BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC,520,76378.2
MAJOR HEAD AND NECK PROCEDURES WITH CC,141,60252.0
MAJOR BLADDER PROCEDURES WITH MCC,653,122432.24
TRAUMATIC INJURY WITHOUT MCC,914,86252.0
"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",145,105159.7
OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC,909,77142.4
MAJOR SKIN DISORDERS WITHOUT MCC,596,44141.2
CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,26,181117.5
"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITHOUT CC/MCC",514,62012.4
LYMPHOMA AND NON-ACUTE LEUKEMIA WITH MCC,840,60926.2
DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,56,93439.36
O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH CC,940,147392.8
CONNECTIVE TISSUE DISORDERS WITH MCC,545,135562.0
"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH MCC",510,91259.4
BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC,519,132217.9
SEPTIC ARTHRITIS WITH MCC,548,151688.0
CERVICAL SPINAL FUSION WITH CC,472,245814.0333
MAJOR SKIN DISORDERS WITH MCC,595,226014.0
OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITH MCC,817,80324.7
BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC,408,305766.1
MAJOR CHEST PROCEDURES WITHOUT CC/MCC,165,145613.175
MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,142,165535.0333
ACUTE AND SUBACUTE ENDOCARDITIS WITH CC,289,186025.4333
POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITHOUT CC/MCC,858,153943.5
CERVICAL SPINAL FUSION WITH MCC,471,214604.3
"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",154,131799.0
BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR,518,366629.65
"LIMB REATTACHMENT, HIP AND FEMUR PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA",956,164535.2
"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH MCC",757,95674.0
NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,99,35086.0
CONCUSSION WITH MCC,88,109194.0
FOOT PROCEDURES WITH CC,504,133218.775
"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",744,96291.96
NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,97,153600.4
TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,86,93844.0
CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC,306,56967.33333
TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,82,76613.8
"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR",41,175485.2
PLEURAL EFFUSION WITHOUT CC/MCC,188,53873.0
HAND PROCEDURES FOR INJURIES,906,67510.0
BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,477,250462.425
TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,87,44033.0
NON-MALIGNANT BREAST DISORDERS WITH CC/MCC,600,29860.0
ANAL AND STOMAL PROCEDURES WITHOUT CC/MCC,349,80933.55
COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC,453,451209.5
SPINAL PROCEDURES WITHOUT CC/MCC,30,88515.36
OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH CC,958,226154.0
MALIGNANT BREAST DISORDERS WITH MCC,597,46211.2
BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITHOUT CC/MCC,410,156817.4
"SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITH CC/MCC",537,90696.2
LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH CC,824,132712.2
AFTERCARE WITHOUT CC/MCC,950,70405.0
PROSTATECTOMY WITH CC,666,50261.4
AFTERCARE WITH CC/MCC,949,95608.0
COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,454,273606.9
PROSTATECTOMY WITH MCC,665,132253.2
MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURES WITH CC/MCC,829,73032.3
"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITHOUT CC/MCC",458,228484.2
MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURES WITH CC,827,146030.0
SPINAL PROCEDURES WITH MCC,28,286206.65
SPINAL FUSION EXCEPT CERVICAL WITH MCC,459,505224.1
UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC,737,128127.3
PROSTATECTOMY WITHOUT CC/MCC,667,36108.1
LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH MCC,823,197498.08
CONCUSSION WITHOUT CC/MCC,90,70460.0
MASTECTOMY FOR MALIGNANCY WITHOUT CC/MCC,583,45443.5
"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT CC/MCC",735,111334.2
LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH MCC,495,105363.4
EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITHOUT SKIN GRAFT,933,35966.9
Bone srgry cmptr ct/mri imag,0055T,137966.5
Anes upr gi ndsc px nos,00731,12924.4
Fna bx w/us gdn 1st les,10005,6785.5
Fna bx w/us gdn ea addl,10006,8462.0
Acne surgery,10040,19477.9
Drainage of skin abscess,10060,4563.037805
Drainage of skin abscess,10061,6153.473333
Drainage of pilonidal cyst,10080,9577.383333
Drainage of pilonidal cyst,10081,13287.8
Remove foreign body,10120,4769.652632
Remove foreign body,10121,12474.4
Drainage of hematoma/fluid,10140,15663.72
Puncture drainage of lesion,10160,4535.125
Complex drainage wound,10180,16034.3
Debride skin at fx site,11010,36126.4
Deb skin bone at fx site,11012,71976.86
Deb subq tissue 20 sq cm/<,11042,10967.49831
Deb musc/fascia 20 sq cm/<,11043,32269.2625
Deb bone 20 sq cm/<,11044,25841.46667
Deb subq tissue add-on,11045,25384.2253
Deb musc/fascia add-on,11046,31767.7
Deb bone add-on,11047,16131.0
Trim skin lesion,11055,5469.0
Trim skin lesions 2 to 4,11056,1452.0
Trim skin lesions over 4,11057,8408.0
Punch bx skin single lesion,11104,10222.95636
Punch bx skin ea sep/addl,11105,5304.0
Incal bx skn single les,11106,12209.0
Removal of skin tags <w/15,11200,14616.825
Exc tr-ext b9+marg 0.5 cm<,11400,22076.55
Exc tr-ext b9+marg 3.1-4 cm,11404,15613.86667
Exc tr-ext b9+marg >4.0 cm,11406,42121.975
Exc h-f-nk-sp b9+marg 0.5/<,11420,18136.8
Exc h-f-nk-sp b9+marg 1.1-2,11422,14819.95
Exc h-f-nk-sp b9+marg >4 cm,11426,35953.65
Removal sweat gland lesion,11450,26393.7
Exc tr-ext mal+marg 2.1-3 cm,11603,15284.9
Exc f/e/e/n/l mal+mrg 2.1-3,11643,16693.0
Debride nail 1-5,11720,40194.4
Removal of nail plate,11730,16970.67143
Remove nail plate add-on,11732,19580.5
Drain blood from under nail,11740,3449.666667
Removal of nail bed,11750,9729.238462
Repair of nail bed,11760,28697.9375
Excision of nail fold toe,11765,3294.0
Remove pilonidal cyst simple,11770,13850.5
Remove pilonidal cyst exten,11771,23750.6
Remove pilonidal cyst compl,11772,24764.6
Insertion drug dlvr implant,11981,24797.3
Remove drug implant device,11982,39419.495
Rpr s/n/ax/gen/trnk 2.5cm/<,12001,5684.624267
Rpr s/n/ax/gen/trnk2.6-7.5cm,12002,6778.809917
Rpr s/n/ax/gen/trk7.6-12.5cm,12004,13314.20303
Rpr s/n/a/gen/trk12.6-20.0cm,12005,3942.8
Rpr s/n/a/gen/trk20.1-30.0cm,12006,10373.66667
Rpr f/e/e/n/l/m 2.5 cm/<,12011,5672.965031
Rpr f/e/e/n/l/m 2.6-5.0 cm,12013,8787.632857
Rpr f/e/e/n/l/m 5.1-7.5 cm,12014,8685.9
Rpr f/e/e/n/l/m 7.6-12.5 cm,12015,8062.142857
Rpr fe/e/en/l/m 12.6-20.0 cm,12016,27146.0
Closure of split wound,12020,28244.7
Intmd rpr s/a/t/ext 2.5 cm/<,12031,5071.333333
Intmd rpr s/a/t/ext 2.6-7.5,12032,14362.95
Intmd rpr s/tr/ext 7.6-12.5,12034,12825.85
Intmd rpr s/a/t/ext 12.6-20,12035,12346.75
Intmd rpr s/tr/ext >30.0 cm,12037,4168.0
Intmd rpr n-hf/genit 2.5cm/<,12041,4943.357143
Intmd rpr n-hf/genit2.6-7.5,12042,6719.5
Intmd rpr n-hf/genit7.6-12.5,12044,7650.0
Intmd rpr n-hf/genit12.6-20,12045,10404.0
Intmd rpr face/mm 2.5 cm/<,12051,15229.6
Intmd rpr face/mm 2.6-5.0 cm,12052,6953.333333
Intmd rpr face/mm 5.1-7.5 cm,12053,20392.93
Intmd rpr face/mm 7.6-12.5cm,12054,13306.66667
Intmd rpr face/mm 12.6-20 cm,12055,15827.0
Cmplx rpr trunk 2.6-7.5 cm,13101,24013.9
Cmplx rpr s/a/l 2.6-7.5 cm,13121,29823.9
Cmplx rpr s/a/l addl 5 cm/>,13122,35840.35
Cmplx rpr f/c/c/m/n/ax/g/h/f,13131,10991.0
Cmplx rpr f/c/c/m/n/ax/g/h/f,13132,21828.46667
Cmplx rpr f/c/c/m/n/ax/g/h/f,13133,44798.4
Cmplx rpr e/n/e/l 1.1-2.5 cm,13151,36417.5
Late closure of wound,13160,27921.1
Tis trnfr f/c/c/m/n/a/g/h/f,14040,24413.5
Tis trnfr e/n/e/l 10 sq cm/<,14060,31587.5
Skin full grft face/genit/hf,15240,42914.5
Skin sub graft trnk/arm/leg,15271,30522.03509
Skin sub graft t/a/l add-on,15272,56861.15385
Skin sub grft t/arm/lg child,15273,100255.6667
Skn sub grft t/a/l child add,15274,124219.0
Skin sub graft face/nk/hf/g,15275,20827.16505
Composite skin graft,15760,22525.0
Grfg autol soft tiss dir exc,15769,65565.7
Dressing change not for burn,15852,11610.0
Dress/debrid p-thick burn s,16020,4038.503448
Dress/debrid p-thick burn m,16025,3703.666667
Dress/debrid p-thick burn l,16030,12677.575
Chem caut of granltj tissue,17250,8006.833333
Unlistd px skn muc memb subq,17999,29398.2
Bx breast 1st lesion strtctc,19081,36766.7
Bx breast 1st lesion us imag,19083,69084.0
Removal of breast lesion,19120,31261.1
Excision breast lesion,19125,35161.1
Perq dev breast 1st strtctc,19283,66723.05
Partial mastectomy,19301,37923.69091
Mast simple complete,19303,48290.0
Mast mod rad,19307,45970.15
Rmvl intact breast implant,19328,35161.1
Peri-implt capslc brst compl,19371,40866.0
Explore wound extremity,20103,16960.26667
Deep muscle biopsy,20205,20633.8
Needle biopsy muscle,20206,13207.0
Bone biopsy trocar/needle,20220,15803.41667
Bone biopsy trocar/needle,20225,14951.0
Bone biopsy open superficial,20240,26449.4
Removal of foreign body,20520,5273.0
